pdf_filename,profile,profile_group,quality_tier,resource_class,status,skip_reason,error_message,runtime_seconds,pipeline,pdf_backend,table_mode,do_cell_matching,ocr_engine,ocr_lang,psm,do_ocr,force_full_page_ocr,vlm_model,images_scale,generate_page_images,generate_picture_images,device_requested,device_selected,gpu_available,gpu_name,gpu_memory_total_mb,gpu_memory_before_mb,gpu_memory_after_mb,page_count,table_count,markdown_output_path,json_output_path,run_dir
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_fast_no_ocr,native_text,baseline,low,success,,,34.752,standard,,fast,True,,,,False,False,,1.0,False,False,auto,auto,True,Tesla T4,15360,552,1754,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_fast_no_ocr/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_fast_no_ocr/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_fast_no_ocr
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr,native_text,strong,high,success,,,19.975,standard,,accurate,True,,,,False,False,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,2112,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_cellmatch_false,cell_matching,strong,high,success,,,18.702,standard,,accurate,False,,,,False,False,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,2112,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_cellmatch_false/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_cellmatch_false/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_cellmatch_false
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_ocr_psm3,ocr,strong,high,success,,,31.889,standard,,accurate,True,tesseract,"spa,eng",3.0,True,False,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,2112,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm3/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm3/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm3
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_force_ocr_psm6,ocr,heavy,high,success,,,37.335,standard,,accurate,True,tesseract,"spa,eng",6.0,True,True,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,2212,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm6/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm6/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm6
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_easyocr_force_ocr,ocr,heavy,high,success,,,33.205,standard,,accurate,True,easyocr,"es,en",,True,True,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,4722,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_easyocr_force_ocr/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_easyocr_force_ocr/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_easyocr_force_ocr
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_cuda_accurate,gpu_performance,heavy,high,success,,,31.26,standard,,accurate,True,,,,True,False,,2.0,True,True,cuda,cuda,True,Tesla T4,15360,552,4722,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_cuda_accurate/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_cuda_accurate/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_cuda_accurate
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,vlm_granite_docling_cuda,vlm,extreme,extreme,success,,,856.983,vlm,,accurate,True,,,,False,False,granite_docling,2.0,True,True,cuda,cuda,True,Tesla T4,15360,552,9716,18.0,6,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/vlm_granite_docling_cuda/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/vlm_granite_docling_cuda/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/vlm_granite_docling_cuda
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr_doclingparse_cellmatch_true,native_text,strong,high,success,,,19.25,standard,docling_parse,accurate,True,,,,False,False,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,1820,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_doclingparse_cellmatch_true/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_doclingparse_cellmatch_true/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_doclingparse_cellmatch_true
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr_doclingparse_cellmatch_false,native_text,strong,high,success,,,18.392,standard,docling_parse,accurate,False,,,,False,False,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,1820,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_doclingparse_cellmatch_false/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_doclingparse_cellmatch_false/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_doclingparse_cellmatch_false
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr_pypdfium2_cellmatch_true,native_text,strong,high,success,,,17.467,standard,pypdfium2,accurate,True,,,,False,False,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,1820,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_pypdfium2_cellmatch_true/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_pypdfium2_cellmatch_true/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_pypdfium2_cellmatch_true
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr_pypdfium2_cellmatch_false,native_text,strong,high,success,,,16.258,standard,pypdfium2,accurate,False,,,,False,False,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,1820,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_pypdfium2_cellmatch_false/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_pypdfium2_cellmatch_false/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_pypdfium2_cellmatch_false
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr_threaded_doclingparse_cellmatch_true,native_text,strong,high,success,,,7.689,standard,threaded_docling_parse,accurate,True,,,,False,False,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,2420,18.0,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_threaded_doclingparse_cellmatch_true/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_threaded_doclingparse_cellmatch_true/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_threaded_doclingparse_cellmatch_true
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr_threaded_doclingparse_cellmatch_false,native_text,strong,high,success,,,6.892,standard,threaded_docling_parse,accurate,False,,,,False,False,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,2420,18.0,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_threaded_doclingparse_cellmatch_false/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_threaded_doclingparse_cellmatch_false/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_threaded_doclingparse_cellmatch_false
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr_doclingparse_scale3,native_text,heavy,extreme,success,,,26.545,standard,docling_parse,accurate,True,,,,False,False,,3.0,True,True,auto,auto,True,Tesla T4,15360,552,2420,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_doclingparse_scale3/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_doclingparse_scale3/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_doclingparse_scale3
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr_pypdfium2_scale3,native_text,heavy,extreme,success,,,25.041,standard,pypdfium2,accurate,True,,,,False,False,,3.0,True,True,auto,auto,True,Tesla T4,15360,552,2500,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_pypdfium2_scale3/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_pypdfium2_scale3/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_pypdfium2_scale3
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_ocr_psm3_not_forced,ocr,strong,high,success,,,32.084,standard,,accurate,True,tesseract,"spa,eng",3.0,True,False,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,2500,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm3_not_forced/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm3_not_forced/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm3_not_forced
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_ocr_psm4_not_forced,ocr,strong,high,success,,,31.701,standard,,accurate,True,tesseract,"spa,eng",4.0,True,False,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,2500,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm4_not_forced/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm4_not_forced/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm4_not_forced
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_ocr_psm6_not_forced,ocr,strong,high,success,,,37.502,standard,,accurate,True,tesseract,"spa,eng",6.0,True,False,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,2500,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm6_not_forced/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm6_not_forced/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm6_not_forced
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_ocr_psm11_not_forced,ocr,strong,high,success,,,33.311,standard,,accurate,True,tesseract,"spa,eng",11.0,True,False,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,2500,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm11_not_forced/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm11_not_forced/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm11_not_forced
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_ocr_psm12_not_forced,ocr,strong,high,success,,,33.674,standard,,accurate,True,tesseract,"spa,eng",12.0,True,False,,2.0,True,True,auto,auto,True,Tesla T4,15360,552,2500,18.0,10,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm12_not_forced/output.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm12_not_forced/output.json,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_ocr_psm12_not_forced
